epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2985.34,0.90084,0.83225,1.26193,0.92311,0.93003,0.96631,0.74313,0.75947,0.5196,1.34377,0.000462281,0.000462281,0.000462281
43,3055.76,0.90217,0.80853,1.26188,0.83126,0.92313,0.91449,0.6942,0.78053,0.65359,1.34637,0.000438703,0.000438703,0.000438703
44,3128.02,0.89199,0.81662,1.26164,0.881,0.93868,0.94622,0.73315,0.78412,0.56621,1.35429,0.000415124,0.000415124,0.000415124
45,3198.66,0.87729,0.79495,1.2495,0.83909,0.93671,0.93816,0.72059,0.80104,0.59349,1.37901,0.000391546,0.000391546,0.000391546
46,3269.71,0.88654,0.79781,1.24814,0.89931,0.91337,0.96098,0.76548,0.75147,0.5381,1.32267,0.000367967,0.000367967,0.000367967
47,3339.69,0.86159,0.78257,1.23996,0.86133,0.93197,0.94705,0.72099,0.78236,0.5784,1.35648,0.000344389,0.000344389,0.000344389
48,3408.69,0.86004,0.76609,1.23575,0.8834,0.92042,0.96132,0.75274,0.74366,0.59827,1.32989,0.00032081,0.00032081,0.00032081
49,3478.66,0.85242,0.76138,1.22725,0.86727,0.93883,0.94787,0.73938,0.74789,0.56323,1.31861,0.000297232,0.000297232,0.000297232
50,3547.54,0.83389,0.74775,1.21757,0.779,0.90445,0.91173,0.70544,0.76835,0.60954,1.35688,0.000273654,0.000273654,0.000273654
51,3619.51,0.69504,0.5156,1.15101,0.87207,0.92029,0.94918,0.7453,0.74362,0.54306,1.33074,0.000250075,0.000250075,0.000250075
52,3687.25,0.67445,0.48577,1.13318,0.87,0.89282,0.93916,0.75533,0.72794,0.53568,1.30201,0.000226497,0.000226497,0.000226497
53,3755.46,0.66164,0.46654,1.12147,0.81585,0.92365,0.92723,0.74818,0.68938,0.58017,1.27436,0.000202918,0.000202918,0.000202918
54,3823.65,0.63474,0.46027,1.10272,0.80112,0.91545,0.92875,0.73067,0.71345,0.6045,1.29994,0.00017934,0.00017934,0.00017934
55,3891.73,0.63831,0.45602,1.11159,0.78692,0.92744,0.93281,0.74402,0.69652,0.59794,1.27556,0.000155761,0.000155761,0.000155761
56,3960.17,0.61518,0.44277,1.09429,0.79338,0.92532,0.94021,0.75363,0.69447,0.55882,1.27689,0.000132183,0.000132183,0.000132183
57,4027.79,0.61448,0.43679,1.08917,0.81937,0.9136,0.93945,0.7531,0.69158,0.56931,1.26636,0.000108604,0.000108604,0.000108604
58,4096.08,0.59747,0.41558,1.07384,0.81247,0.92676,0.93824,0.75338,0.68548,0.54774,1.26632,8.50255e-05,8.50255e-05,8.50255e-05
59,4163.54,0.59726,0.4171,1.07222,0.8055,0.91764,0.92466,0.75153,0.67483,0.59611,1.24802,6.1447e-05,6.1447e-05,6.1447e-05
60,4232.71,0.59511,0.4124,1.07269,0.82904,0.92141,0.9393,0.76153,0.67349,0.5429,1.25059,3.78685e-05,3.78685e-05,3.78685e-05
