epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9490.09,1.27566,0.98218,1.45618,0.67819,0.71082,0.72319,0.48177,1.26898,0.67372,1.45496,0.007921,0.007921,0.007921
44,9710.21,1.26276,0.97574,1.44112,0.67235,0.71432,0.72591,0.48231,1.26828,0.67246,1.45302,0.0078715,0.0078715,0.0078715
45,9928.62,1.26362,0.97563,1.44546,0.66805,0.72108,0.72768,0.48338,1.26773,0.67102,1.45126,0.007822,0.007822,0.007822
46,10145.2,1.26425,0.97276,1.44229,0.67404,0.71949,0.72943,0.48423,1.26731,0.66945,1.45181,0.0077725,0.0077725,0.0077725
47,10362.9,1.26061,0.96482,1.4418,0.67295,0.71441,0.72925,0.48609,1.26663,0.6679,1.45139,0.007723,0.007723,0.007723
48,10581.8,1.24828,0.95839,1.43919,0.67488,0.71545,0.73002,0.48751,1.26755,0.66712,1.45294,0.0076735,0.0076735,0.0076735
49,10802.9,1.24689,0.95804,1.43351,0.67416,0.71597,0.73011,0.48697,1.26584,0.66682,1.45257,0.007624,0.007624,0.007624
50,11023.4,1.2496,0.94386,1.4333,0.6762,0.71571,0.73123,0.48817,1.26507,0.66534,1.45187,0.0075745,0.0075745,0.0075745
51,11243.9,1.24153,0.93354,1.4297,0.66332,0.73351,0.73123,0.48937,1.26504,0.66431,1.45288,0.007525,0.007525,0.007525
52,11460.7,1.24519,0.94557,1.42701,0.66498,0.73253,0.73183,0.48933,1.26404,0.66334,1.45126,0.0074755,0.0074755,0.0074755
53,11679.3,1.24265,0.93834,1.4229,0.66952,0.72794,0.73286,0.49085,1.26429,0.66283,1.45053,0.007426,0.007426,0.007426
54,11898.8,1.23608,0.92882,1.41798,0.67539,0.72491,0.73333,0.48994,1.26416,0.66353,1.44982,0.0073765,0.0073765,0.0073765
55,12116.6,1.2325,0.91772,1.42281,0.67273,0.72532,0.73481,0.4932,1.26315,0.66235,1.44905,0.007327,0.007327,0.007327
56,12330.3,1.22813,0.92063,1.4152,0.68297,0.72563,0.73554,0.49314,1.26266,0.66176,1.44843,0.0072775,0.0072775,0.0072775
57,12543.7,1.22732,0.91412,1.41737,0.67841,0.72486,0.7354,0.49369,1.26209,0.66115,1.44774,0.007228,0.007228,0.007228
58,12757.9,1.22317,0.92152,1.41489,0.68092,0.72612,0.73525,0.49368,1.26202,0.66037,1.44785,0.0071785,0.0071785,0.0071785
59,12973.7,1.21985,0.9084,1.4089,0.68855,0.72127,0.7356,0.49364,1.26156,0.65994,1.44702,0.007129,0.007129,0.007129
60,13189.4,1.2137,0.89776,1.40577,0.69515,0.71668,0.73566,0.49527,1.26146,0.65933,1.4469,0.0070795,0.0070795,0.0070795
61,13405.2,1.21118,0.89087,1.40329,0.69382,0.71503,0.73564,0.49606,1.26101,0.6589,1.44636,0.00703,0.00703,0.00703
62,13621,1.21349,0.89446,1.40332,0.6976,0.71412,0.73711,0.49776,1.26142,0.65785,1.44586,0.0069805,0.0069805,0.0069805
63,13838.9,1.20146,0.88416,1.39978,0.70206,0.71172,0.73732,0.49736,1.26143,0.65762,1.44546,0.006931,0.006931,0.006931
64,14055,1.20735,0.88194,1.40108,0.69987,0.70991,0.73881,0.49962,1.26064,0.65751,1.44469,0.0068815,0.0068815,0.0068815
